seed,target_stage,method,point_type,precision,recall,average_precision
42,Reconnaissance,frozen,curve,0.11743929359823399,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11769911504424779,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11795771099151398,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11821744575976728,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11847832688842548,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11874036198360523,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11900597876926831,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11927035565066749,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.119535909796552,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.11980264908796856,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.120070581476466,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12033971498488556,1.0,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12058944765045342,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1208609613517589,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12113370046788953,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12140767331355176,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12168288827884535,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12195935383011985,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12223707851084277,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12251607094247964,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12279633982538617,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12307789393971266,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1233607421463209,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1236448933877137,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12393035668897738,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12421714115873723,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12450525599012639,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12479471046176815,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.125085513938772,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12537767587374377,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1256712058078096,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12596611337165492,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12626240828657748,0.9998291182501708,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12653846985788755,0.9996582365003418,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12683751788734227,0.9996582365003418,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12709451676700062,0.9993164730006835,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12737452073893343,0.9991455912508544,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12765864523736734,0.9989747095010253,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12783189230600853,0.9979494190020506,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1280279094260137,0.997095010252905,0.4012734738777736
