seed,split,from_stage,to_stage,true_stage,count,fraction_of_rows,fraction_of_overrides
44,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Establish Foothold,1,1.518164842338581e-05,0.0006013229104028864
44,test_shuffle_bn_order,Establish Foothold,Benign,Benign,3,4.554494527015743e-05,0.0018039687312086591
44,test_shuffle_bn_order,Establish Foothold,Benign,Data Exfiltration,1,1.518164842338581e-05,0.0006013229104028864
44,test_shuffle_bn_order,Establish Foothold,Establish Foothold,Benign,6,9.108989054031487e-05,0.0036079374624173183
44,test_shuffle_bn_order,Establish Foothold,Lateral Movement,Benign,1,1.518164842338581e-05,0.0006013229104028864
44,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Benign,4,6.072659369354324e-05,0.0024052916416115455
44,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Establish Foothold,3,4.554494527015743e-05,0.0018039687312086591
44,test_shuffle_bn_order,Lateral Movement,Benign,Benign,4,6.072659369354324e-05,0.0024052916416115455
44,test_shuffle_bn_order,Lateral Movement,Reconnaissance,Benign,4,6.072659369354324e-05,0.0024052916416115455
44,test_shuffle_bn_order,Lateral Movement,Reconnaissance,Lateral Movement,5,7.590824211692905e-05,0.003006614552014432
44,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Benign,6,9.108989054031487e-05,0.0036079374624173183
44,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Lateral Movement,1,1.518164842338581e-05,0.0006013229104028864
44,test_shuffle_bn_order,Lateral Movement,Data Exfiltration,Benign,1,1.518164842338581e-05,0.0006013229104028864
45,test,Benign,Benign,Benign,41,0.0006224475853588183,0.009221772379667117
45,test,Benign,Benign,Data Exfiltration,194,0.0029452397941368475,0.04363472784525416
45,test,Benign,Reconnaissance,Benign,549,0.00833472498443881,0.12348178137651822
45,test,Benign,Reconnaissance,Reconnaissance,2319,0.0352062426938317,0.5215924426450742
45,test,Benign,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.0002249212775528565
45,test,Benign,Reconnaissance,Data Exfiltration,47,0.0007135374758991331,0.010571300044984255
45,test,Benign,Establish Foothold,Benign,7,0.00010627153896370068,0.0015744489428699954
45,test,Benign,Lateral Movement,Benign,42,0.0006376292337822041,0.009446693657219974
45,test,Benign,Data Exfiltration,Benign,33,0.0005009943979717318,0.007422402159244264
45,test,Benign,Data Exfiltration,Reconnaissance,3,4.554494527015743e-05,0.0006747638326585695
45,test,Benign,Data Exfiltration,Establish Foothold,2,3.036329684677162e-05,0.000449842555105713
45,test,Benign,Data Exfiltration,Lateral Movement,2,3.036329684677162e-05,0.000449842555105713
45,test,Benign,Data Exfiltration,Data Exfiltration,400,0.006072659369354324,0.0899685110211426
45,test,Reconnaissance,Benign,Benign,11,0.00016699813265724393,0.0024741340530814214
45,test,Reconnaissance,Reconnaissance,Benign,54,0.0008198090148628338,0.012145748987854251
45,test,Reconnaissance,Reconnaissance,Reconnaissance,167,0.0025353352867054303,0.037561853351327036
45,test,Reconnaissance,Reconnaissance,Lateral Movement,2,3.036329684677162e-05,0.000449842555105713
45,test,Reconnaissance,Lateral Movement,Benign,9,0.0001366348358104723,0.0020242914979757085
45,test,Reconnaissance,Data Exfiltration,Benign,24,0.00036435956216125946,0.005398110661268556
45,test,Reconnaissance,Data Exfiltration,Establish Foothold,1,1.518164842338581e-05,0.0002249212775528565
45,test,Reconnaissance,Data Exfiltration,Data Exfiltration,218,0.0033095993562981068,0.049032838506522715
45,test,Establish Foothold,Benign,Benign,10,0.0001518164842338581,0.002249212775528565
45,test,Establish Foothold,Benign,Establish Foothold,1,1.518164842338581e-05,0.0002249212775528565
45,test,Establish Foothold,Establish Foothold,Benign,5,7.590824211692905e-05,0.0011246063877642825
45,test,Establish Foothold,Establish Foothold,Establish Foothold,2,3.036329684677162e-05,0.000449842555105713
45,test,Establish Foothold,Data Exfiltration,Benign,1,1.518164842338581e-05,0.0002249212775528565
45,test,Establish Foothold,Data Exfiltration,Establish Foothold,62,0.0009412622022499203,0.013945119208277103
45,test,Establish Foothold,Data Exfiltration,Data Exfiltration,9,0.0001366348358104723,0.0020242914979757085
45,test,Lateral Movement,Benign,Benign,33,0.0005009943979717318,0.007422402159244264
45,test,Lateral Movement,Benign,Lateral Movement,1,1.518164842338581e-05,0.0002249212775528565
45,test,Lateral Movement,Reconnaissance,Benign,1,1.518164842338581e-05,0.0002249212775528565
45,test,Lateral Movement,Reconnaissance,Reconnaissance,1,1.518164842338581e-05,0.0002249212775528565
45,test,Lateral Movement,Reconnaissance,Lateral Movement,117,0.00177625286553614,0.02631578947368421
45,test,Lateral Movement,Lateral Movement,Benign,54,0.0008198090148628338,0.012145748987854251
45,test,Lateral Movement,Lateral Movement,Lateral Movement,3,4.554494527015743e-05,0.0006747638326585695
45,test,Lateral Movement,Data Exfiltration,Benign,20,0.0003036329684677162,0.00449842555105713
45,test_shuffle_bn_order,Benign,Benign,Benign,65,0.0009868071475200777,0.019596020500452217
45,test_shuffle_bn_order,Benign,Benign,Reconnaissance,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Benign,Benign,Establish Foothold,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Benign,Benign,Data Exfiltration,68,0.0010323520927902352,0.020500452215857702
45,test_shuffle_bn_order,Benign,Reconnaissance,Benign,286,0.004341951449088342,0.08622249020198974
45,test_shuffle_bn_order,Benign,Reconnaissance,Reconnaissance,1589,0.024123639344760053,0.47904733192643956
45,test_shuffle_bn_order,Benign,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Benign,Reconnaissance,Data Exfiltration,29,0.00044026780427818853,0.008742839915586373
45,test_shuffle_bn_order,Benign,Establish Foothold,Benign,6,9.108989054031487e-05,0.0018088634308109737
45,test_shuffle_bn_order,Benign,Establish Foothold,Establish Foothold,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Benign,Lateral Movement,Benign,10,0.0001518164842338581,0.0030147723846849564
45,test_shuffle_bn_order,Benign,Data Exfiltration,Benign,23,0.00034917791373787366,0.006933976484775399
45,test_shuffle_bn_order,Benign,Data Exfiltration,Reconnaissance,2,3.036329684677162e-05,0.0006029544769369913
45,test_shuffle_bn_order,Benign,Data Exfiltration,Lateral Movement,2,3.036329684677162e-05,0.0006029544769369913
45,test_shuffle_bn_order,Benign,Data Exfiltration,Data Exfiltration,543,0.008243635093898496,0.16370214048839313
45,test_shuffle_bn_order,Reconnaissance,Benign,Data Exfiltration,4,6.072659369354324e-05,0.0012059089538739825
45,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Benign,98,0.0014878015454918095,0.02954476936991257
