study,contrast,condition,budget,rows,metric,baseline_mean,candidate_mean,delta_mean,seed_count
PX081,harm_minus_entropy,delayed_unavailable,3,208094,LateralMovement.exact_stage_recall,0.7523809523809524,0.7523809523809524,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,LateralMovement.warning_recall,0.7523809523809524,0.7523809523809524,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,LateralMovement.attack_to_benign_count,8.666666666666666,8.666666666666666,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,LateralMovement.wrong_attack_stage_count,0.0,0.0,0.0,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,LateralMovement.stage_f1,0.1309885431398394,0.2314223826450629,0.1004338395052235,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,DataExfiltration.exact_stage_recall,0.6743172574084834,0.6743172574084836,2.220446049250313e-16,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,DataExfiltration.warning_recall,0.8099941894247532,0.6920395119116792,-0.11795467751307398,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,DataExfiltration.attack_to_benign_count,654.0,1060.0,406.0,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,DataExfiltration.wrong_attack_stage_count,467.0,61.0,-406.0,3
PX081,harm_minus_entropy,delayed_unavailable,3,208094,DataExfiltration.stage_f1,0.7591170025305769,0.7585801262002508,-0.0005368763303260637,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,macro_f1,0.7139202648980194,0.7500287816884934,0.036108516790474,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,benign_false_alert_rate,0.0009053399447430448,0.0008827931645099804,-2.254678023306438e-05,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,benign_false_alert_count,174.0,169.66666666666666,-4.333333333333343,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,attack_to_benign_count,461.3333333333333,1153.3333333333333,692.0,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,wrong_attack_stage_count,1060.3333333333333,368.0,-692.3333333333333,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,OtherAttackStage.exact_stage_recall,0.9680188881734278,0.9680457179652285,2.6829791800686564e-05,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,OtherAttackStage.warning_recall,0.9967535951921014,0.9968072547757029,5.365958360148415e-05,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,OtherAttackStage.attack_to_benign_count,40.333333333333336,39.666666666666664,-0.6666666666666714,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,OtherAttackStage.wrong_attack_stage_count,357.0,357.3333333333333,0.3333333333333144,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,OtherAttackStage.stage_f1,0.9834814082028305,0.9835354320137518,5.402381092134423e-05,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,LateralMovement.exact_stage_recall,0.8190476190476191,0.8190476190476191,0.0,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,LateralMovement.warning_recall,0.8190476190476191,0.8190476190476191,0.0,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,LateralMovement.attack_to_benign_count,6.333333333333333,6.333333333333333,0.0,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,LateralMovement.wrong_attack_stage_count,0.0,0.0,0.0,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,LateralMovement.stage_f1,0.11717426626204712,0.2634603165293215,0.14628605026727437,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,DataExfiltration.exact_stage_recall,0.6751888436955259,0.6751888436955259,0.0,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,DataExfiltration.warning_recall,0.8795274065465816,0.6782878171605655,-0.20123958938601605,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,DataExfiltration.attack_to_benign_count,414.6666666666667,1107.3333333333333,692.6666666666665,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,DataExfiltration.wrong_attack_stage_count,703.3333333333334,10.666666666666666,-692.6666666666667,3
PX081,harm_minus_entropy,wrong_host_history,1,208094,DataExfiltration.stage_f1,0.7566754046274659,0.7565524455411875,-0.0001229590862783514,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,macro_f1,0.568712857543275,0.6921245704844069,0.12341171294113185,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,benign_false_alert_rate,0.00034340480662667215,0.00042145135358727945,7.80465469606073e-05,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,benign_false_alert_count,66.0,81.0,15.0,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,attack_to_benign_count,7908.666666666667,4311.666666666667,-3597.0,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,wrong_attack_stage_count,954.6666666666666,261.6666666666667,-693.0,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,OtherAttackStage.exact_stage_recall,0.3791586177291264,0.7247531659154326,0.3455945481863062,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,OtherAttackStage.warning_recall,0.3998712169993561,0.7456804035200686,0.34580918652071246,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,OtherAttackStage.attack_to_benign_count,7456.0,3159.6666666666665,-4296.333333333334,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,OtherAttackStage.wrong_attack_stage_count,257.3333333333333,260.0,2.6666666666666856,3
