configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,seed,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,policy,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,chronological_all_fit_before_test,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX080-0046,PX080,UNRAVELED,missing_half,,ordinary_gate,,False,20260925,,46,px080_context_selector/results/METRICS.json,20260925,208094,0.7517650186667633,0.02437360039213048,137,0.7428571428571429,192193,137,0.00071282512890688,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.2653061224489796,9,3442,0.6717024985473562,0.6763509587449157,0.7607765712405397,1114,0.007578305957884417,17,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0047,PX080,UNRAVELED,missing_half,,stage_harm_gate,,False,20260925,,47,px080_context_selector/results/METRICS.json,20260925,208094,0.7481736656920224,0.024296712062817766,165,0.8571428571428571,192193,165,0.0008585120165666804,Author benign flow labels,35,0.8571428571428571,0.8571428571428572,0.25210084033613445,5,3442,0.6737361998837885,0.6807088901801278,0.7595807402554864,1099,0.0008217440195296356,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0048,PX080,UNRAVELED,missing_half,,context_dropout,,False,20260925,,48,px080_context_selector/results/METRICS.json,20260925,208094,0.7514862278108018,0.024051630513133488,106,0.6285714285714286,192193,106,0.0005515289318549583,Author benign flow labels,35,0.6285714285714286,0.6285714285714286,0.2634730538922156,13,3442,0.674607786170831,0.6804183614177803,0.7608125819134993,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0049,PX080,UNRAVELED,missing_all,,current_roles,,False,20260925,,49,px080_context_selector/results/METRICS.json,20260925,208094,0.7491564610421154,0.024315934145145945,166,0.8285714285714286,192193,166,0.0008637151196973876,Author benign flow labels,35,0.8285714285714286,0.8285714285714285,0.2600896860986547,6,3442,0.6751888436955259,0.6780941313190005,0.7562642369020501,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0050,PX080,UNRAVELED,missing_all,,context,,False,20260925,,50,px080_context_selector/results/METRICS.json,20260925,208094,0.4332676806399642,0.08219362403529175,0,0.0,192193,0,0.0,Author benign flow labels,35,0.0,0.0,0.0,35,3442,0.6702498547356188,0.6702498547356188,0.766572520352218,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0051,PX080,UNRAVELED,missing_all,,fixed_fusion,,False,20260925,,51,px080_context_selector/results/METRICS.json,20260925,208094,0.7345349913590312,0.024277489980489588,47,0.2571428571428571,192193,47,0.00024454584714323624,Author benign flow labels,35,0.2571428571428571,0.2571428571428571,0.1978021978021978,26,3442,0.674026728646136,0.6740267286461359,0.7605310604818882,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0052,PX080,UNRAVELED,missing_all,,confidence_gate,,False,20260925,,52,px080_context_selector/results/METRICS.json,20260925,208094,0.7347084508043629,0.02429190654223572,47,0.2571428571428571,192193,47,0.00024454584714323624,Author benign flow labels,35,0.2571428571428571,0.2571428571428571,0.1978021978021978,26,3442,0.6737361998837885,0.6737361998837885,0.7612013786312162,1123,0.548646284852038,39,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0053,PX080,UNRAVELED,missing_all,,ordinary_gate,,False,20260925,,53,px080_context_selector/results/METRICS.json,20260925,208094,0.7536951796935693,0.02451776600959182,140,0.7142857142857143,192193,140,0.0007284344382990015,Author benign flow labels,35,0.7142857142857143,0.7142857142857143,0.273224043715847,10,3442,0.6714119697850087,0.6714119697850087,0.7614497528830313,1131,0.007784943342912337,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0054,PX080,UNRAVELED,missing_all,,stage_harm_gate,,False,20260925,,54,px080_context_selector/results/METRICS.json,20260925,208094,0.7495040205020895,0.024460099762607282,164,0.8285714285714286,192193,164,0.0008533089134359732,Author benign flow labels,35,0.8285714285714286,0.8285714285714285,0.2600896860986547,6,3442,0.6728646135967461,0.6757699012202207,0.7577294290855554,1116,0.00019222082328178611,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0055,PX080,UNRAVELED,missing_all,,context_dropout,,False,20260925,,55,px080_context_selector/results/METRICS.json,20260925,208094,0.7533728313649927,0.024085269157207802,116,0.6285714285714286,192193,116,0.0006035599631620299,Author benign flow labels,35,0.6285714285714286,0.6285714285714286,0.2732919254658385,13,3442,0.6751888436955259,0.6780941313190005,0.7587332680378713,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
