study,dataset,condition,view,arm,budget,reference_only,n_views,mean_definition,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX083,casino,delay_120_deadline_0,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,93,0.10299003322259136,,,,,,,,,,,0.6391304347826087,,,,,,,,,,,,,,,,,,,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.6367861600787779,0.9505895381408378,93,0.10299003322259136,0.11413043478260869
PX083,casino,delay_120_deadline_0,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,33,0.036544850498338874,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,17,0.25,0.6470588235294118,0.36065573770491804,0.6339185205126674,0.9479512735326688,33,0.036544850498338874,0.06195652173913044
PX083,casino,delay_120_deadline_30,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,93,0.10299003322259136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.671435855944523,0.9414044687642499,93,0.10299003322259136,0.11413043478260869
PX083,casino,delay_120_deadline_30,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,33,0.036544850498338874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,0.6470588235294118,0.36065573770491804,0.6334936511313979,0.949547260764771,33,0.036544850498338874,0.06195652173913044
PX083,casino,delay_120_deadline_30,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,29,0.03211517165005537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6428362324826,0.9522180965409419,29,0.03211517165005537,0.05326086956521739
PX083,casino,delay_120_deadline_30,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,102,0.11295681063122924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1206896551724138,0.8235294117647058,0.21052631578947367,0.6958031575071087,0.9422513191323041,102,0.11295681063122924,0.12391304347826088
PX083,casino,delay_120_deadline_30,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,29,0.03211517165005537,,,,,,,,,,,0.7619565217391304,,,,,,,,,,,,,,,,,,,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6731615129342067,0.9500032571168001,29,0.03211517165005537,0.05326086956521739
PX083,casino,delay_120_deadline_30,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,93,0.10299003322259136,,,,,,,,,,,0.6391304347826087,,,,,,,,,,,,,,,,,,,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.6368094570688068,0.9507198228128461,93,0.10299003322259136,0.11413043478260869
PX083,casino,delay_120_deadline_30,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,33,0.036544850498338874,,,,,,,,,,,0.7510869565217392,,,,,,,,,,,,,,,,,,,17,0.25,0.6470588235294118,0.36065573770491804,0.6349121371234359,0.948407269884698,33,0.036544850498338874,0.06195652173913044
PX083,casino,delay_120_deadline_120,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,7,0.007751937984496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8674180483004013,0.960719171389486,7,0.007751937984496124,0.020652173913043477
PX083,casino,delay_120_deadline_120,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,16,0.017718715393133997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8522436792934762,0.976157905022474,16,0.017718715393133997,0.030434782608695653
PX083,casino,delay_120_deadline_120,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,8,0.008859357696566999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8606314785559049,0.9711419451501531,8,0.008859357696566999,0.021739130434782608
