study,dataset,condition,view,arm,budget,reference_only,class,n_views,support,support_available_views,predicted_count,predicted_count_available_views,true_positive_count,true_positive_count_available_views,precision,precision_available_views,exact_recall,exact_recall_available_views,f1,f1_available_views,average_precision,average_precision_available_views,roc_auc,roc_auc_available_views,warning_recall,warning_recall_available_views,missed_warning_count,missed_warning_count_available_views,wrong_attack_stage_count,wrong_attack_stage_count_available_views
PX081,UNRAVELED,clean,,random,2,False,DataExfiltration,3,3442,3,2662,3,2318,3,0.870780227358765,3,0.673445671121441,3,0.7595032652806338,3,0.7173184664162817,3,0.9669742833882233,3,0.7774549680418362,3,766,3,358,3
PX081,UNRAVELED,clean,,entropy,2,False,Benign,3,192193,3,192593.33333333334,3,192091.66666666666,3,0.9974018748854698,3,0.9994727522160883,3,0.9984345458335722,3,0.9999760154329034,3,0.9997264970509647,3,,0,,0,,0
PX081,UNRAVELED,clean,,entropy,2,False,OtherAttackStage,3,12424,3,12056.333333333334,3,12054.333333333334,3,0.9998341120527271,3,0.9702457608928955,3,0.9848176970493864,3,0.9894984077521761,3,0.9982796697596109,3,0.9950364885168491,3,61.666666666666664,3,308,3
PX081,UNRAVELED,clean,,entropy,2,False,LateralMovement,3,35,3,818,3,22.333333333333332,3,0.07855631645220156,3,0.638095238095238,3,0.12575345618413816,3,0.154917597212226,3,0.9977659038564839,3,0.6380952380952382,3,12.666666666666666,3,0,3
PX081,UNRAVELED,clean,,entropy,2,False,DataExfiltration,3,3442,3,2626.3333333333335,3,2316,3,0.8818411539168765,3,0.6728646135967461,3,0.7633067334989695,3,0.8294248106635492,3,0.9944559644830524,3,0.8758473755568468,3,427.3333333333333,3,698.6666666666666,3
PX081,UNRAVELED,clean,,harm,2,False,Benign,3,192193,3,193284,3,192085.66666666666,3,0.9938001457153707,3,0.9994415335973041,3,0.9966128515497473,3,0.9985036591995019,3,0.9863972479207185,3,,0,,0,,0
PX081,UNRAVELED,clean,,harm,2,False,OtherAttackStage,3,12424,3,12053.333333333334,3,12049.666666666666,3,0.9996957122389863,3,0.969870143807684,3,0.9845570368487162,3,0.9947234844738244,3,0.9992305398900577,3,0.9951438076840524,3,60.333333333333336,3,314,3
PX081,UNRAVELED,clean,,harm,2,False,LateralMovement,3,35,3,120.33333333333333,3,21.666666666666668,3,0.18126846404324173,3,0.6190476190476191,3,0.2775563757302742,3,0.19483642530870637,3,0.9992866263438553,3,0.6190476190476191,3,13.333333333333334,3,0,3
PX081,UNRAVELED,clean,,harm,2,False,DataExfiltration,3,3442,3,2636.3333333333335,3,2314.6666666666665,3,0.8780067507773525,3,0.6724772419136161,3,0.7616156643831886,3,0.681021907518162,3,0.8899868259992125,3,0.6732519852798761,3,1124.6666666666667,3,2.6666666666666665,3
PX081,UNRAVELED,clean,,none,3,False,Benign,3,192193,3,193194.33333333334,3,192029,3,0.9939680777061192,3,0.9991466910865641,3,0.9965506563467037,3,0.9983583434301234,3,0.9848079637615607,3,,0,,0,,0
PX081,UNRAVELED,clean,,none,3,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12025,3,0.9995567053346309,3,0.9678847392144238,3,0.983465768568905,3,0.9896415249721386,3,0.9982569389599708,3,0.9968072547757029,3,39.666666666666664,3,359.3333333333333,3
PX081,UNRAVELED,clean,,none,3,False,LateralMovement,3,35,3,165.33333333333334,3,27.333333333333332,3,0.16553544494720965,3,0.780952380952381,3,0.2731026263142213,3,0.1787012357424593,3,0.9995455730391494,3,0.780952380952381,3,7.666666666666667,3,0,3
PX081,UNRAVELED,clean,,none,3,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594695691495975,3,0.6751888436955259,3,0.7562645971066267,3,0.6373037168156886,3,0.8517437772389999,3,0.6751888436955259,3,1118,3,0,3
PX081,UNRAVELED,clean,,roles_first,3,False,Benign,3,192193,3,192662.66666666666,3,192077.66666666666,3,0.9969688685394643,3,0.9993999087722585,3,0.9981814855826419,3,0.9999932994375642,3,0.9999189073749912,3,,0,,0,,0
PX081,UNRAVELED,clean,,roles_first,3,False,OtherAttackStage,3,12424,3,12067.333333333334,3,12065.666666666666,3,0.9998619141573983,3,0.9711579738141233,3,0.9853006587549706,3,0.9987725971813968,3,0.9999052835128657,3,0.9947950203906417,3,64.66666666666667,3,293.6666666666667,3
PX081,UNRAVELED,clean,,roles_first,3,False,LateralMovement,3,35,3,757,3,24,3,0.07086792098879126,3,0.6857142857142857,3,0.11369521035702283,3,0.1553382201857073,3,0.9978120675019151,3,0.6857142857142857,3,11,3,0,3
PX081,UNRAVELED,clean,,roles_first,3,False,DataExfiltration,3,3442,3,2607,3,2311.3333333333335,3,0.8866020677348784,3,0.6715088127057912,3,0.7642061692258859,3,0.9223823522362585,3,0.9982944611683018,3,0.852024017044354,3,509.3333333333333,3,621.3333333333334,3
PX081,UNRAVELED,clean,,history_first,3,False,Benign,3,192193,3,192662.66666666666,3,192077.66666666666,3,0.9969688685394643,3,0.9993999087722585,3,0.9981814855826419,3,0.9999932994375642,3,0.9999189073749912,3,,0,,0,,0
PX081,UNRAVELED,clean,,history_first,3,False,OtherAttackStage,3,12424,3,12067.333333333334,3,12065.666666666666,3,0.9998619141573983,3,0.9711579738141233,3,0.9853006587549706,3,0.9987725971813968,3,0.9999052835128657,3,0.9947950203906417,3,64.66666666666667,3,293.6666666666667,3
PX081,UNRAVELED,clean,,history_first,3,False,LateralMovement,3,35,3,757,3,24,3,0.07086792098879126,3,0.6857142857142857,3,0.11369521035702283,3,0.1553382201857073,3,0.9978120675019151,3,0.6857142857142857,3,11,3,0,3
PX081,UNRAVELED,clean,,history_first,3,False,DataExfiltration,3,3442,3,2607,3,2311.3333333333335,3,0.8866020677348784,3,0.6715088127057912,3,0.7642061692258859,3,0.9223823522362585,3,0.9982944611683018,3,0.852024017044354,3,509.3333333333333,3,621.3333333333334,3
PX081,UNRAVELED,clean,,random,3,False,Benign,3,192193,3,192662.66666666666,3,192077.66666666666,3,0.9969688685394643,3,0.9993999087722585,3,0.9981814855826419,3,0.9999932994375642,3,0.9999189073749912,3,,0,,0,,0
PX081,UNRAVELED,clean,,random,3,False,OtherAttackStage,3,12424,3,12067.333333333334,3,12065.666666666666,3,0.9998619141573983,3,0.9711579738141233,3,0.9853006587549706,3,0.9987725971813968,3,0.9999052835128657,3,0.9947950203906417,3,64.66666666666667,3,293.6666666666667,3
PX081,UNRAVELED,clean,,random,3,False,LateralMovement,3,35,3,757,3,24,3,0.07086792098879126,3,0.6857142857142857,3,0.11369521035702283,3,0.1553382201857073,3,0.9978120675019151,3,0.6857142857142857,3,11,3,0,3
PX081,UNRAVELED,clean,,random,3,False,DataExfiltration,3,3442,3,2607,3,2311.3333333333335,3,0.8866020677348784,3,0.6715088127057912,3,0.7642061692258859,3,0.9223823522362585,3,0.9982944611683018,3,0.852024017044354,3,509.3333333333333,3,621.3333333333334,3
PX081,UNRAVELED,clean,,entropy,3,False,Benign,3,192193,3,192664,3,192081.66666666666,3,0.9969826104015774,3,0.9994207211847813,3,0.9981987936965966,3,0.9999828647333658,3,0.9998032056010258,3,,0,,0,,0
PX081,UNRAVELED,clean,,entropy,3,False,OtherAttackStage,3,12424,3,12056.333333333334,3,12054.666666666666,3,0.9998617631087292,3,0.9702725906846963,3,0.984844949347823,3,0.9901456293941847,3,0.9985591897895951,3,0.9951438076840523,3,60.333333333333336,3,309,3
PX081,UNRAVELED,clean,,entropy,3,False,LateralMovement,3,35,3,746.6666666666666,3,23,3,0.07070122357313029,3,0.6571428571428571,3,0.11293478533409217,3,0.14452471098962977,3,0.9976297245355541,3,0.6571428571428571,3,12,3,0,3
PX081,UNRAVELED,clean,,entropy,3,False,DataExfiltration,3,3442,3,2627,3,2316,3,0.8816174911566231,3,0.6728646135967461,3,0.7632228863499543,3,0.8483698371227173,3,0.995865666107407,3,0.8518303312027891,3,510,3,616,3
PX081,UNRAVELED,clean,,harm,3,False,Benign,3,192193,3,192959.33333333334,3,192070.66666666666,3,0.9953997305488693,3,0.9993634870503435,3,0.9973763091850901,3,0.9985891503608679,3,0.9871585000951528,3,,0,,0,,0
PX081,UNRAVELED,clean,,harm,3,False,OtherAttackStage,3,12424,3,12055.333333333334,3,12051.666666666666,3,0.9996957627279784,3,0.970031122558489,3,0.9846399899876136,3,0.9955463636168574,3,0.9993441406866471,3,0.9951169778922515,3,60.666666666666664,3,311.6666666666667,3
PX081,UNRAVELED,clean,,harm,3,False,LateralMovement,3,35,3,448,3,24.333333333333332,3,0.13361318447413478,3,0.6952380952380952,3,0.20829676104590056,3,0.1773284394020887,3,0.9986075607216726,3,0.6952380952380952,3,10.666666666666666,3,0,3
PX081,UNRAVELED,clean,,harm,3,False,DataExfiltration,3,3442,3,2631.3333333333335,3,2312.3333333333335,3,0.878797508259965,3,0.6717993414681387,3,0.7614753883727335,3,0.7335334584369599,3,0.8972160543056895,3,0.7625411582413326,3,817.3333333333334,3,312.3333333333333,3
PX081,UNRAVELED,clean,,full_context_reference,,True,Benign,3,192193,3,192662.66666666666,3,192077.66666666666,3,0.9969688685394643,3,0.9993999087722585,3,0.9981814855826419,3,0.9999932994375642,3,0.9999189073749912,3,,0,,0,,0
