configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,true_class,predicted_class,count
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2314
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,Benign,Benign,192130
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,9
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,Benign,LateralMovement,43
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,11
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,37
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,12065
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,322
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,LateralMovement,Benign,19
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,16
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1111
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,1
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,8
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2322
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,Benign,Benign,192076
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,1
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,Benign,LateralMovement,115
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,1
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,39
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,12034
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,351
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,LateralMovement,Benign,9
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,26
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1118
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,0
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,0
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2324
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,Benign,Benign,192168
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,1
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,Benign,LateralMovement,24
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,0
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,6177
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,5986
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,OtherAttackStage,DataExfiltration,261
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,LateralMovement,Benign,25
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,LateralMovement,OtherAttackStage,0
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,LateralMovement,LateralMovement,10
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,LateralMovement,DataExfiltration,0
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,DataExfiltration,Benign,1132
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,DataExfiltration,OtherAttackStage,1
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,DataExfiltration,LateralMovement,5
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,DataExfiltration,DataExfiltration,2304
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,Benign,Benign,192154
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,Benign,OtherAttackStage,0
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,Benign,LateralMovement,39
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,Benign,DataExfiltration,0
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,OtherAttackStage,Benign,102
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,OtherAttackStage,OtherAttackStage,12022
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,OtherAttackStage,LateralMovement,0
