study,contrast,condition,budget,omitted_seed,metric,baseline,candidate,delta,f1_up_exfil_warning_down,f1_down_exfil_warning_up,sign_disagreement
PX081,harm_minus_entropy,delayed_unavailable,3,8101,exfil_warning_recall,0.7754212667054039,0.6998837884950609,-0.0755374782103429,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8101,movement_exact_recall,0.7285714285714286,0.7142857142857143,-0.01428571428571429,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8101,benign_false_alert_rate,0.0007206297836029408,0.0007388406445604158,1.821086095747502e-05,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8101,exfil_to_benign_count,773.0,1033.0,260.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8101,benign_false_alert_count,138.5,142.0,3.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8102,macro_f1,0.7271027955448837,0.7542687624922271,0.027165966947343467,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8102,exfil_warning_recall,0.7773097036606624,0.6754793724578733,-0.10183033120278917,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8102,movement_exact_recall,0.7714285714285715,0.7714285714285715,0.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8102,benign_false_alert_rate,0.0007700592633446588,0.0007544499539525373,-1.560930939212144e-05,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8102,exfil_to_benign_count,766.5,1117.0,350.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8102,benign_false_alert_count,148.0,145.0,-3.0,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8103,macro_f1,0.7002817313569785,0.7365480796068808,0.036266348249902325,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8103,exfil_warning_recall,0.877251597908193,0.7007553747821034,-0.17649622312608954,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8103,movement_exact_recall,0.7571428571428571,0.7714285714285715,0.01428571428571429,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8103,benign_false_alert_rate,0.0007570515055178909,0.0007908716758674874,3.382017034959646e-05,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8103,exfil_to_benign_count,422.5,1030.0,607.5,True,False,True
PX081,harm_minus_entropy,delayed_unavailable,3,8103,benign_false_alert_count,145.5,152.0,6.5,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8101,macro_f1,0.722984357153045,0.7503001583712077,0.02731580121816274,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8101,exfil_warning_recall,0.8300406740267287,0.6772225450319582,-0.15281812899477043,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8101,movement_exact_recall,0.8285714285714285,0.7714285714285715,-0.057142857142857106,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8101,benign_false_alert_rate,0.0009209492541351662,0.0008455042587399125,-7.544499539525372e-05,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8101,exfil_to_benign_count,585.0,1111.0,526.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8101,benign_false_alert_count,177.0,162.5,-14.5,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8102,macro_f1,0.7231568528234449,0.7484654319364534,0.025308579113008545,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8102,exfil_warning_recall,0.8284427658338176,0.6794015107495642,-0.14904125508425337,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8102,movement_exact_recall,0.8428571428571429,0.8428571428571429,0.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8102,benign_false_alert_rate,0.0009131445994391054,0.0009131445994391055,5.421010862427522e-20,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8102,exfil_to_benign_count,590.5,1103.5,513.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8102,benign_false_alert_count,175.5,175.5,0.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8103,macro_f1,0.6956195847175684,0.751320754757819,0.0557011700402506,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8103,exfil_warning_recall,0.9800987797791981,0.6782393957001743,-0.3018593840790238,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8103,movement_exact_recall,0.7857142857142858,0.8428571428571429,0.057142857142857106,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8103,benign_false_alert_rate,0.0008819259806548625,0.0008897306353509233,7.804654696060747e-06,True,False,True
PX081,harm_minus_entropy,wrong_host_history,1,8103,exfil_to_benign_count,68.5,1107.5,1039.0,True,False,True
