dataset,model_seed,condition,removed_fraction,mask_seed,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
cadets,307,drop_0.5_mask_20260921,0.5,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_0.5_mask_20260921,0.5,20260921,quality_gate,357173,10,2178,342149,12836,0.004570383912248629,0.0007784524365561264,0.0013303179459890914,0.006325382557859244,63.25382557859244,0.08182542138770126,0.9579643478090449,2188
cadets,307,drop_0.5_mask_20260921,0.5,20260921,confidence_selector,357173,10,2196,342131,12836,0.004533091568449683,0.0007784524365561264,0.0013287270794578793,0.006377658446767172,63.77658446767172,0.08182518680955017,0.9579139520624459,2206
cadets,101,drop_0.75_mask_20260921,0.75,20260921,mlp,357173,6,986,343341,12840,0.006048387096774193,0.00046707146193367583,0.000867177337765573,0.0028635570257342586,28.635570257342586,0.09094588340134559,0.9612904670845781,992
cadets,101,drop_0.75_mask_20260921,0.75,20260921,gin,357173,6,967,343360,12840,0.006166495375128468,0.00046707146193367583,0.0008683696360083942,0.0028083769207758904,28.083769207758902,0.09120995435967434,0.961343662594877,973
cadets,101,drop_0.75_mask_20260921,0.75,20260921,isolation_forest,357173,0,538,343789,12846,0.0,0.0,0.0,0.0015624682351369483,15.624682351369483,0.048403138495079205,0.9625279626399532,538
cadets,101,drop_0.75_mask_20260921,0.75,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_0.75_mask_20260921,0.75,20260921,quality_gate,357173,6,967,343360,12840,0.006166495375128468,0.00046707146193367583,0.0008683696360083942,0.0028083769207758904,28.083769207758902,0.05130607913701926,0.961343662594877,973
cadets,101,drop_0.75_mask_20260921,0.75,20260921,confidence_selector,357173,6,986,343341,12840,0.006048387096774193,0.00046707146193367583,0.000867177337765573,0.0028635570257342586,28.635570257342586,0.05131423259765287,0.9612904670845781,992
cadets,211,drop_0.75_mask_20260921,0.75,20260921,mlp,357173,8,1088,343239,12838,0.0072992700729927005,0.0006227619492449011,0.0011476115334959117,0.0031597870628791817,31.597870628791817,0.0905646943816987,0.9610104907145837,1096
cadets,211,drop_0.75_mask_20260921,0.75,20260921,gin,357173,8,1053,343274,12838,0.007540056550424128,0.0006227619492449011,0.0011504997483281802,0.003058139501113767,30.58139501113767,0.09460594702072177,0.9611084824440818,1061
cadets,211,drop_0.75_mask_20260921,0.75,20260921,isolation_forest,357173,1,608,343719,12845,0.0016420361247947454,7.784524365561264e-05,0.00014864362690449647,0.001765763358667778,17.65763358667778,0.04961594139046684,0.962334778944657,609
cadets,211,drop_0.75_mask_20260921,0.75,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_0.75_mask_20260921,0.75,20260921,quality_gate,357173,8,1053,343274,12838,0.007540056550424128,0.0006227619492449011,0.0011504997483281802,0.003058139501113767,30.58139501113767,0.05174679468636983,0.9611084824440818,1061
cadets,211,drop_0.75_mask_20260921,0.75,20260921,confidence_selector,357173,8,1087,343240,12838,0.0073059360730593605,0.0006227619492449011,0.0011476938526648016,0.0031568828468287414,31.568828468287414,0.09164592714844189,0.9610132904782837,1095
cadets,307,drop_0.75_mask_20260921,0.75,20260921,mlp,357173,6,993,343334,12840,0.006006006006006006,0.00046707146193367583,0.000866738894907909,0.002883886538087341,28.838865380873415,0.0907378507464126,0.9612708687386785,999
cadets,307,drop_0.75_mask_20260921,0.75,20260921,gin,357173,6,936,343391,12840,0.006369426751592357,0.00046707146193367583,0.0008703220191470844,0.0027183462232122373,27.183462232122373,0.09122256443186523,0.9614304552695753,942
cadets,307,drop_0.75_mask_20260921,0.75,20260921,isolation_forest,357173,1,667,343660,12845,0.0014970059880239522,7.784524365561264e-05,0.0001479946721918011,0.001937112105643763,19.37112105643763,0.09714447864804782,0.9621695928863604,668
cadets,307,drop_0.75_mask_20260921,0.75,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_0.75_mask_20260921,0.75,20260921,quality_gate,357173,6,960,343367,12840,0.006211180124223602,0.00046707146193367583,0.0008688097306689834,0.0027880474084228074,27.880474084228073,0.05074558407589529,0.9613632609407766,966
cadets,307,drop_0.75_mask_20260921,0.75,20260921,confidence_selector,357173,6,994,343333,12840,0.006,0.00046707146193367583,0.0008666762964032933,0.002886790754137782,28.867907541377818,0.05074778909445701,0.9612680689749785,1000
cadets,101,drop_1_mask_20260921,1.0,20260921,mlp,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_1_mask_20260921,1.0,20260921,gin,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_1_mask_20260921,1.0,20260921,isolation_forest,357173,0,0,344327,12846,0.0,0.0,0.0,0.0,0.0,0.03586204930686387,0.9640342355105229,0
cadets,101,drop_1_mask_20260921,1.0,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,101,drop_1_mask_20260921,1.0,20260921,quality_gate,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.035861737751536144,0.9637962555960277,85
cadets,101,drop_1_mask_20260921,1.0,20260921,confidence_selector,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.035861737751536144,0.9637962555960277,85
cadets,211,drop_1_mask_20260921,1.0,20260921,mlp,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_1_mask_20260921,1.0,20260921,gin,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_1_mask_20260921,1.0,20260921,isolation_forest,357173,0,0,344327,12846,0.0,0.0,0.0,0.0,0.0,0.03586204930686387,0.9640342355105229,0
cadets,211,drop_1_mask_20260921,1.0,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,211,drop_1_mask_20260921,1.0,20260921,quality_gate,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.035861737751536144,0.9637962555960277,85
cadets,211,drop_1_mask_20260921,1.0,20260921,confidence_selector,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_1_mask_20260921,1.0,20260921,mlp,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_1_mask_20260921,1.0,20260921,gin,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_1_mask_20260921,1.0,20260921,isolation_forest,357173,0,0,344327,12846,0.0,0.0,0.0,0.0,0.0,0.09904597155254614,0.9640342355105229,0
cadets,307,drop_1_mask_20260921,1.0,20260921,type_rarity,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.09904588993763214,0.9637962555960277,85
cadets,307,drop_1_mask_20260921,1.0,20260921,quality_gate,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.035861737751536144,0.9637962555960277,85
cadets,307,drop_1_mask_20260921,1.0,20260921,confidence_selector,357173,0,85,344242,12846,0.0,0.0,0.0,0.0002468583642874361,2.4685836428743606,0.035861737751536144,0.9637962555960277,85
theia,101,clean,0.0,,mlp,344767,11,3393,316055,25308,0.0032314923619271444,0.0004344563371381176,0.000765936705775859,0.010621446996068217,106.21446996068218,0.39367360583443206,0.9167524734095781,3404
theia,101,clean,0.0,,gin,344767,11,3390,316058,25308,0.003234342840341076,0.0004344563371381176,0.000766016713091922,0.01061205579624853,106.1205579624853,0.36171730462264257,0.9167611749384367,3401
theia,101,clean,0.0,,isolation_forest,344767,2,3588,315860,25317,0.0005571030640668524,7.899206129783957e-05,0.0001383652149849528,0.011231874984348,112.31874984348,0.6381146677216869,0.9161607694471918,3590
theia,101,clean,0.0,,type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,101,clean,0.0,,quality_gate,344767,11,3390,316058,25308,0.003234342840341076,0.0004344563371381176,0.000766016713091922,0.01061205579624853,106.1205579624853,0.3960626099613768,0.9167611749384367,3401
theia,101,clean,0.0,,confidence_selector,344767,11,3398,316050,25308,0.0032267527134056907,0.0004344563371381176,0.0007658033973823447,0.010637098995767699,106.370989957677,0.3939418313555834,0.9167379708614803,3409
theia,211,clean,0.0,,mlp,344767,11,3386,316062,25308,0.0032381513099793936,0.0004344563371381176,0.0007661234155174815,0.010599534196488944,105.99534196488943,0.37856247401873105,0.9167727769769148,3397
theia,211,clean,0.0,,gin,344767,11,3705,315743,25308,0.002960172228202368,0.0004344563371381176,0.0007577062166350955,0.011598131777315869,115.9813177731587,0.3608647348424782,0.9158475144082815,3716
theia,211,clean,0.0,,isolation_forest,344767,737,3582,315866,24582,0.170641352164853,0.02910857458825388,0.049733450300290166,0.011213092584708623,112.13092584708622,0.6611316065602313,0.9183100470752711,4319
theia,211,clean,0.0,,type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,211,clean,0.0,,quality_gate,344767,11,3705,315743,25308,0.002960172228202368,0.0004344563371381176,0.0007577062166350955,0.011598131777315869,115.9813177731587,0.37661610350523317,0.9158475144082815,3716
theia,211,clean,0.0,,confidence_selector,344767,11,3705,315743,25308,0.002960172228202368,0.0004344563371381176,0.0007577062166350955,0.011598131777315869,115.9813177731587,0.37815428426056924,0.9158475144082815,3716
theia,307,clean,0.0,,mlp,344767,11,3393,316055,25308,0.0032314923619271444,0.0004344563371381176,0.000765936705775859,0.010621446996068217,106.21446996068218,0.3771040081784787,0.9167524734095781,3404
theia,307,clean,0.0,,gin,344767,11,3702,315746,25308,0.0029625639644492324,0.0004344563371381176,0.0007577845136401213,0.011588740577496181,115.8874057749618,0.36240711847063484,0.9158562159371402,3713
theia,307,clean,0.0,,isolation_forest,344767,737,3710,315738,24582,0.16572970541938387,0.02910857458825388,0.04951958610495196,0.011613783777015352,116.13783777015351,0.7050168971410202,0.9179387818439699,4447
theia,307,clean,0.0,,type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,307,clean,0.0,,quality_gate,344767,11,3702,315746,25308,0.0029625639644492324,0.0004344563371381176,0.0007577845136401213,0.011588740577496181,115.8874057749618,0.3734522576803133,0.9158562159371402,3713
theia,307,clean,0.0,,confidence_selector,344767,11,3704,315744,25308,0.0029609690444145358,0.0004344563371381176,0.0007577323138389475,0.011595001377375973,115.95001377375974,0.37400309742073223,0.9158504149179011,3715
theia,101,drop_0.25_mask_20260920,0.25,20260920,mlp,344767,8,2696,316752,25311,0.0029585798816568047,0.0003159682451913583,0.0005709595689255255,0.008439558237960483,84.39558237960482,0.3859296016631637,0.9187654270855389,2704
theia,101,drop_0.25_mask_20260920,0.25,20260920,gin,344767,8,2688,316760,25311,0.002967359050445104,0.0003159682451913583,0.000571122612885954,0.008414515038441312,84.14515038441311,0.36185647846695157,0.9187886311624952,2696
theia,101,drop_0.25_mask_20260920,0.25,20260920,isolation_forest,344767,1,2717,316731,25318,0.0003679175864606328,3.9496030648919786e-05,7.133430823554588e-05,0.008505296636698304,85.05296636698304,0.5754428691477271,0.9186842128161918,2718
theia,101,drop_0.25_mask_20260920,0.25,20260920,type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,101,drop_0.25_mask_20260920,0.25,20260920,quality_gate,344767,8,2688,316760,25311,0.002967359050445104,0.0003159682451913583,0.000571122612885954,0.008414515038441312,84.14515038441311,0.3868330696168284,0.9187886311624952,2696
