dataset,seed,scenario,drop_rate,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
theia,101,drop_0.5_mask_20260920,0.5,confidence_selector,344767,12711,152988,166460,12608,0.07671138630890953,0.5020340455784194,0.13308693421562365,0.4789136260048584,4789.136260048584,0.32916366274435005,0.5196872090426288,165699
theia,101,drop_0.5_mask_20260920,0.5,prior_mlp,344767,8,2012,317436,25311,0.0039603960396039604,0.0003159682451913583,0.0005852445224770475,0.006298364679071398,62.98364679071398,0.3840652608546945,0.9207493756653043,2020
theia,101,drop_0.5_mask_20260920,0.5,prior_gin,344767,8,1993,317455,25311,0.00399800099950025,0.0003159682451913583,0.0005856515373352855,0.006238887080213368,62.38887080213368,0.36692241129180236,0.9208044853480757,2001
theia,101,drop_0.5_mask_20260920,0.5,prior_isolation_forest,344767,1,1640,317808,25318,0.0006093845216331506,3.9496030648919786e-05,7.41839762611276e-05,0.005133855901429967,51.33855901429967,0.5395035319771806,0.9218080616764366,1641
theia,101,drop_0.5_mask_20260920,0.5,prior_type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,101,drop_0.5_mask_20260920,0.5,prior_quality_gate,344767,8,1993,317455,25311,0.00399800099950025,0.0003159682451913583,0.0005856515373352855,0.006238887080213368,62.38887080213368,0.3866282526779599,0.9208044853480757,2001
theia,101,drop_0.5_mask_20260920,0.5,prior_confidence_selector,344767,8,2001,317447,25311,0.003982080637132902,0.0003159682451913583,0.000585480093676815,0.006263930279732538,62.639302797325385,0.38203830571542474,0.9207812812711194,2009
theia,211,drop_0.5_mask_20260920,0.5,local_knn,344767,10888,21850,297598,14431,0.33257987659600463,0.4300327817054386,0.3750796630897222,0.06839923868673461,683.9923868673462,0.468781522716666,0.8947666104934637,32738
theia,211,drop_0.5_mask_20260920,0.5,mlp_knn,344767,10880,153406,166042,14439,0.06622597178091864,0.42971681346024726,0.11476490598876612,0.48022213317973506,4802.22133179735,0.31720591985979885,0.513163962908283,164286
theia,211,drop_0.5_mask_20260920,0.5,gin_knn,344767,23972,194267,125181,1347,0.10984287867887958,0.9467988467159051,0.1968483892953629,0.6081334051238386,6081.334051238387,0.10567355384335712,0.4326197112832725,218239
theia,211,drop_0.5_mask_20260920,0.5,quality_gate,344767,12866,155882,163566,12453,0.07624386659397445,0.508155930329002,0.1325933826977281,0.4879730034309183,4879.730034309184,0.3460506760821663,0.5117427131947083,168748
theia,211,drop_0.5_mask_20260920,0.5,confidence_selector,344767,23843,152409,167039,1476,0.1352778975557724,0.9417038587621944,0.23657172906816953,0.4771011244396584,4771.0112443965845,0.10690098197492753,0.5536550771970635,176252
theia,211,drop_0.5_mask_20260920,0.5,prior_mlp,344767,8,2017,317431,25311,0.003950617283950617,0.0003159682451913583,0.0005851375073142189,0.00631401667877088,63.1401667877088,0.37387769150327926,0.9207348731172067,2025
theia,211,drop_0.5_mask_20260920,0.5,prior_gin,344767,8,2004,317444,25311,0.003976143141153081,0.0003159682451913583,0.0005854158281804544,0.006273321479552228,62.73321479552228,0.3623369847978222,0.9207725797422607,2012
theia,211,drop_0.5_mask_20260920,0.5,prior_isolation_forest,344767,98,1912,317536,25221,0.04875621890547264,0.003870611003594139,0.00717186871089319,0.005985324685081766,59.85324685081766,0.5595234807993898,0.921300472493017,2010
