setting,method,shot,seed,group,group_external_id,group_degree,top1,top5,top10,mrr,rank
standard,random_uniform,5,13,Aquatic Panda,G0143,35,0.0,0.0,0.0,0.019230769230769232,52.0
standard,frequency_prior,5,13,Aquatic Panda,G0143,35,0.0,0.0,0.0,0.02,50.0
standard,overlap_cosine,5,13,Aquatic Panda,G0143,35,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Aquatic Panda,G0143,35,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Ke3chang,G0004,46,0.0,0.0,0.0,0.013333333333333334,75.0
standard,frequency_prior,5,13,Ke3chang,G0004,46,0.0,0.0,0.0,0.03125,32.0
standard,overlap_cosine,5,13,Ke3chang,G0004,46,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,Ke3chang,G0004,46,0.0,1.0,1.0,0.25,4.0
standard,random_uniform,5,13,Saint Bear,G1031,18,0.0,0.0,0.0,0.013333333333333334,75.0
standard,frequency_prior,5,13,Saint Bear,G1031,18,0.0,0.0,0.0,0.011494252873563218,87.0
standard,overlap_cosine,5,13,Saint Bear,G1031,18,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Saint Bear,G1031,18,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,APT1,G0006,23,0.0,1.0,1.0,0.2,5.0
standard,frequency_prior,5,13,APT1,G0006,23,0.0,0.0,0.0,0.013513513513513514,74.0
standard,overlap_cosine,5,13,APT1,G0006,23,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,APT1,G0006,23,0.0,1.0,1.0,0.25,4.0
standard,random_uniform,5,13,Confucius,G0142,19,0.0,0.0,0.0,0.013888888888888888,72.0
standard,frequency_prior,5,13,Confucius,G0142,19,0.0,0.0,0.0,0.011627906976744186,86.0
standard,overlap_cosine,5,13,Confucius,G0142,19,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Confucius,G0142,19,0.0,1.0,1.0,0.25,4.0
