seed,condition,arm,macro_f1,stage_weighted_error,movement_recall,movement_f1,movement_any_attack_recall,exfil_recall,exfil_f1,exfil_ap,normal_false_attacks,context_selected_fraction,context_harm_count,context_help_count
20260925,missing_all,ordinary_gate,0.7536951796935693,0.02451776600959182,0.7142857142857143,0.273224043715847,0.7142857142857143,0.6714119697850087,0.7614497528830313,0.6866549356380515,140,0.007784943342912337,17,26
20260925,missing_all,stage_harm_gate,0.7495040205020895,0.024460099762607282,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6728646135967461,0.7577294290855554,0.6860404353001626,164,0.00019222082328178611,8,2
20260925,missing_all,context_dropout,0.7533728313649927,0.024085269157207802,0.6285714285714286,0.2732919254658385,0.6285714285714286,0.6751888436955259,0.7587332680378713,0.6890638748319772,116,,,
20260925,stale_5min,current_roles,0.7491564610421154,0.024315934145145945,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6751888436955259,0.7562642369020501,0.68665641557786,166,,,
20260925,stale_5min,context,0.7196104281130875,0.024258267898161406,0.22857142857142856,0.13445378151260504,0.22857142857142856,0.6722835560720511,0.7629409825255523,0.9062260472399111,44,,,
20260925,stale_5min,fixed_fusion,0.7388861435105802,0.024152546445356426,0.5142857142857142,0.21176470588235294,0.5142857142857142,0.6743172574084835,0.7622331691297208,0.7314230060650954,104,,,
20260925,stale_5min,confidence_gate,0.7376677992141658,0.024166963007102558,0.5142857142857142,0.20689655172413793,0.5142857142857142,0.6743172574084835,0.7622331691297208,0.8950490236015914,107,0.49664094111315077,19,92
20260925,stale_5min,ordinary_gate,0.7457488952092668,0.024258267898161406,0.7714285714285715,0.23893805309734514,0.7714285714285715,0.6725740848343986,0.7623909105878478,0.6854030498825266,144,0.002522898305573443,14,59
20260925,stale_5min,stage_harm_gate,0.7420142102670726,0.02420060165117687,0.8285714285714286,0.2248062015503876,0.8285714285714286,0.674607786170831,0.7615611675959331,0.6860150312246784,168,0.0014656837775236192,5,35
20260925,stale_5min,context_dropout,0.7456704586371734,0.02406604707487962,0.5428571428571428,0.2389937106918239,0.5428571428571428,0.6737361998837885,0.761826544021025,0.8405423894448384,89,,,
20260925,wrong_host,current_roles,0.7491564610421154,0.024315934145145945,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6751888436955259,0.7562642369020501,0.68665641557786,166,,,
20260925,wrong_host,context,0.46514835180131103,0.07771007333224408,0.0,0.0,0.0,0.6705403834979663,0.7524042379788101,0.6901110040110099,0,,,
20260925,wrong_host,fixed_fusion,0.7353877513321145,0.02430151758339981,0.2857142857142857,0.20202020202020202,0.2857142857142857,0.6743172574084835,0.7599869024230518,0.6905204860622602,54,,,
20260925,wrong_host,confidence_gate,0.7351799347238785,0.024306323103981856,0.2857142857142857,0.2,0.2857142857142857,0.674026728646136,0.761030014761358,0.6892630610958386,55,0.5136380674118427,40,111
20260925,wrong_host,ordinary_gate,0.7511734967741844,0.024498543927263642,0.6857142857142857,0.26229508196721313,0.6857142857142857,0.6717024985473562,0.7622815694032311,0.6850056073972212,136,0.007419723778676944,17,30
20260925,wrong_host,stage_harm_gate,0.749646544520486,0.024440877680279104,0.8285714285714286,0.2600896860986547,0.8285714285714286,0.6731551423590936,0.7583046964490263,0.6860533356247713,164,0.00021624842619200938,7,2
20260925,wrong_host,context_dropout,0.7536749383501293,0.02414774092477438,0.6285714285714286,0.27672955974842767,0.6285714285714286,0.6751888436955259,0.7571265678449259,0.6870197511169409,114,,,
20260926,clean,current_roles,0.7554716128942205,0.024258267898161406,0.7714285714285715,0.28421052631578947,0.7714285714285715,0.674607786170831,0.757462077964443,0.678656615417503,135,,,
20260926,clean,context,0.7598648007376646,0.024061241554297577,0.4857142857142857,0.29310344827586204,0.4857142857142857,0.6725740848343986,0.7650363516192994,0.864880030532423,51,,,
20260926,clean,fixed_fusion,0.7722634886037758,0.02395071458091055,0.6,0.3442622950819672,0.6,0.6737361998837885,0.7632055290439361,0.7217723414809285,66,,,
20260926,clean,confidence_gate,0.7721712823364135,0.02395071458091055,0.6,0.3442622950819672,0.6,0.6737361998837885,0.7628289473684211,0.8593497205901904,66,0.7252347496804329,13,104
20260926,clean,ordinary_gate,0.7736518864583071,0.023893048333926015,0.6,0.35,0.6,0.674026728646136,0.7626561472715319,0.6782954009540124,66,0.0018116812594308341,11,111
20260926,clean,stage_harm_gate,0.7681046956161868,0.023965131142656686,0.6285714285714286,0.32592592592592595,0.6285714285714286,0.6725740848343986,0.7645310435931307,0.6779237972074778,66,0.0034503637779080606,16,113
20260926,clean,context_dropout,0.7567726886948704,0.024008380827895085,0.45714285714285713,0.2831858407079646,0.45714285714285713,0.6737361998837885,0.762202136400986,0.7840088667656482,60,,,
20260926,missing_half,current_roles,0.7554716128942205,0.024258267898161406,0.7714285714285715,0.28421052631578947,0.7714285714285715,0.674607786170831,0.757462077964443,0.678656615417503,135,,,
20260926,missing_half,context,0.6653648802254435,0.05342777783117245,0.3142857142857143,0.2619047619047619,0.3142857142857143,0.6693782684485764,0.7682560853617872,0.7309381562615558,30,,,
20260926,missing_half,fixed_fusion,0.7687926928157225,0.024863763491499033,0.45714285714285713,0.3368421052631579,0.45714285714285713,0.6728646135967461,0.7647350173353145,0.6988422162027973,44,,,
20260926,missing_half,confidence_gate,0.7656168494222936,0.026228531336799716,0.45714285714285713,0.3368421052631579,0.45714285714285713,0.6728646135967461,0.7648612945838837,0.7301411603480792,44,0.636568089421127,469,110
20260926,missing_half,ordinary_gate,0.7688029847614709,0.024099685718953934,0.45714285714285713,0.3333333333333333,0.45714285714285713,0.6722835560720511,0.7606837606837606,0.6779943597673828,47,0.0015137389833440656,21,111
20260926,missing_half,stage_harm_gate,0.7623548301450889,0.024162157486520515,0.4857142857142857,0.3063063063063063,0.4857142857142857,0.6714119697850087,0.7619518628420705,0.677551419466659,52,0.003291781598700587,24,107
20260926,missing_half,context_dropout,0.7564051494988511,0.024085269157207802,0.6285714285714286,0.28205128205128205,0.6285714285714286,0.6737361998837885,0.7620768977982254,0.7216117751406381,97,,,
20260926,missing_all,current_roles,0.7554716128942205,0.024258267898161406,0.7714285714285715,0.28421052631578947,0.7714285714285715,0.674607786170831,0.757462077964443,0.678656615417503,135,,,
20260926,missing_all,context,0.43424202426186975,0.08252039943487079,0.0,0.0,0.0,0.6653108657757117,0.7706545515732794,0.7008752742191933,0,,,
20260926,missing_all,fixed_fusion,0.732098666233933,0.0258392841696541,0.17142857142857143,0.19672131147540983,0.17142857142857143,0.6722835560720511,0.7660983280913756,0.6955419309056103,20,,,
20260926,missing_all,confidence_gate,0.7260302733843859,0.02846309840745048,0.17142857142857143,0.19672131147540983,0.17142857142857143,0.6722835560720511,0.7671142052047074,0.6908240500828685,20,0.5489730602516171,903,115
20260926,missing_all,ordinary_gate,0.744433766804075,0.024368794871548433,0.22857142857142856,0.23880597014925373,0.22857142857142856,0.6705403834979663,0.7585866885784717,0.67777892555136,26,0.0012446298307495652,33,109
20260926,missing_all,stage_harm_gate,0.7374676231618407,0.024503349447845685,0.22857142857142856,0.21052631578947367,0.22857142857142856,0.6690877396862289,0.7590639419907712,0.6774555015158719,34,0.0031091718165828903,38,101
20260926,missing_all,context_dropout,0.7556926555489367,0.02410449123953598,0.7428571428571429,0.27956989247311825,0.7428571428571429,0.674607786170831,0.7618110236220472,0.6739267297337992,127,,,
20260926,stale_5min,current_roles,0.7554716128942205,0.024258267898161406,0.7714285714285715,0.28421052631578947,0.7714285714285715,0.674607786170831,0.757462077964443,0.678656615417503,135,,,
20260926,stale_5min,context,0.7202285982269186,0.024248656856997317,0.2,0.1346153846153846,0.2,0.6717024985473562,0.7648031756533246,0.8463930235166713,42,,,
20260926,stale_5min,fixed_fusion,0.7453287056497153,0.024070852595461666,0.37142857142857144,0.23636363636363636,0.37142857142857144,0.6737361998837885,0.7632055290439361,0.7210015257939947,62,,,
20260926,stale_5min,confidence_gate,0.7447550067224404,0.02405643603371553,0.37142857142857144,0.23423423423423423,0.37142857142857144,0.674026728646136,0.763032395987502,0.853475985381185,63,0.6231702980383865,23,113
20260926,stale_5min,ordinary_gate,0.7421720568604782,0.024166963007102558,0.34285714285714286,0.22429906542056074,0.34285714285714286,0.6719930273097037,0.7623599208965063,0.6782905177513106,62,0.0018309033417590128,30,121
20260926,stale_5min,stage_harm_gate,0.738821027746692,0.02415735196593847,0.34285714285714286,0.20869565217391303,0.34285714285714286,0.6719930273097037,0.764375413086583,0.6780877361412754,65,0.002421982373350505,30,123
20260926,stale_5min,context_dropout,0.7460035139969221,0.024118907801282112,0.42857142857142855,0.24,0.42857142857142855,0.673445671121441,0.7622492601118054,0.7658848455398664,78,,,
20260926,wrong_host,current_roles,0.7554716128942205,0.024258267898161406,0.7714285714285715,0.28421052631578947,0.7714285714285715,0.674607786170831,0.757462077964443,0.678656615417503,135,,,
20260926,wrong_host,context,0.43757932927215304,0.08204465289724835,0.0,0.0,0.0,0.6661824520627542,0.7698505959375525,0.6832588287077369,0,,,
20260926,wrong_host,fixed_fusion,0.7323054054257843,0.02568550751102867,0.17142857142857143,0.19672131147540983,0.17142857142857143,0.6722835560720511,0.7654647700959312,0.6783861639528963,20,,,
20260926,wrong_host,confidence_gate,0.7268713913713162,0.028107489884379173,0.17142857142857143,0.19672131147540983,0.17142857142857143,0.6722835560720511,0.7669870732515744,0.6885751987457311,20,0.540135707901237,829,115
20260926,wrong_host,ordinary_gate,0.744546474711129,0.024349572789220255,0.22857142857142856,0.23880597014925373,0.22857142857142856,0.6708309122603138,0.7590401051939514,0.6776823494200067,26,0.0012590463924956991,32,109
20260926,wrong_host,stage_harm_gate,0.7382830732919557,0.02447932184493546,0.22857142857142856,0.21333333333333335,0.22857142857142856,0.6693782684485764,0.7595187077633097,0.6811107833973564,33,0.0031235883783290244,37,102
20260926,wrong_host,context_dropout,0.7554189173706403,0.024258267898161406,0.7428571428571429,0.28415300546448086,0.7428571428571429,0.674607786170831,0.757462077964443,0.671630222654509,127,,,
