dataset,condition,perturbation_seed,arm,rows,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,context_selected_fraction
casino,delay_30_deadline_0,20260920,mixed_dropout,920,17,0.12727272727272726,0.8235294117647058,0.2204724409448819,0.69192673272909,0.9426421731483291,96,0.10631229235880399,0.11739130434782609,
casino,delay_30_deadline_0,20260920,confidence_gate,920,17,0.3157894736842105,0.7058823529411765,0.43636363636363634,0.6498746375337551,0.9505569669728356,26,0.028792912513842746,0.05,0.7597826086956522
casino,delay_30_deadline_0,20260920,ordinary_gate,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.636944286134026,0.951078105660869,93,0.10299003322259136,0.11413043478260869,0.6380434782608696
casino,delay_30_deadline_0,20260920,target_cost_gate,920,17,0.2619047619047619,0.6470588235294118,0.3728813559322034,0.624086734439211,0.9492215490847502,31,0.03433001107419712,0.059782608695652176,0.7565217391304347
casino,delay_30_deadline_30,20260920,current,920,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8674180483004013,0.960719171389486,7,0.007751937984496124,0.020652173913043477,
casino,delay_30_deadline_30,20260920,context,920,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8522436792934762,0.976157905022474,16,0.017718715393133997,0.030434782608695653,
casino,delay_30_deadline_30,20260920,fixed_fusion,920,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8606314785559049,0.9711419451501531,8,0.008859357696566999,0.021739130434782608,
casino,delay_30_deadline_30,20260920,mixed_dropout,920,17,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.8438442464409793,0.9693179597420364,17,0.018826135105204873,0.03152173913043478,
casino,delay_30_deadline_30,20260920,confidence_gate,920,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8716877511874316,0.9684059670379781,8,0.008859357696566999,0.021739130434782608,0.6260869565217392
casino,delay_30_deadline_30,20260920,ordinary_gate,920,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8671529436746829,0.9682105400299655,7,0.007751937984496124,0.020652173913043477,0.5152173913043478
casino,delay_30_deadline_30,20260920,target_cost_gate,920,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8579928937314336,0.9667122663018696,16,0.017718715393133997,0.030434782608695653,0.42934782608695654
casino,delay_120_deadline_0,20260920,current,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.671435855944523,0.9414044687642499,93,0.10299003322259136,0.11413043478260869,
casino,delay_120_deadline_0,20260920,context,920,17,0.25,0.6470588235294118,0.36065573770491804,0.6318686814605169,0.9478535600286627,33,0.036544850498338874,0.06195652173913044,
casino,delay_120_deadline_0,20260920,fixed_fusion,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6423910506560649,0.9510455344928669,29,0.03211517165005537,0.05326086956521739,
casino,delay_120_deadline_0,20260920,mixed_dropout,920,17,0.12173913043478261,0.8235294117647058,0.21212121212121213,0.6938520721519061,0.9415347534362583,101,0.11184939091915837,0.12282608695652174,
casino,delay_120_deadline_0,20260920,confidence_gate,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6722448182164213,0.9496124031007752,29,0.03211517165005537,0.05326086956521739,0.7608695652173914
casino,delay_120_deadline_0,20260920,ordinary_gate,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.6367861600787779,0.9505895381408378,93,0.10299003322259136,0.11413043478260869,0.6391304347826087
casino,delay_120_deadline_0,20260920,target_cost_gate,920,17,0.25,0.6470588235294118,0.36065573770491804,0.6339185205126674,0.9479512735326688,33,0.036544850498338874,0.06195652173913044,0.75
casino,delay_120_deadline_30,20260920,current,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.671435855944523,0.9414044687642499,93,0.10299003322259136,0.11413043478260869,
casino,delay_120_deadline_30,20260920,context,920,17,0.25,0.6470588235294118,0.36065573770491804,0.6334936511313979,0.949547260764771,33,0.036544850498338874,0.06195652173913044,
casino,delay_120_deadline_30,20260920,fixed_fusion,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6428362324826,0.9522180965409419,29,0.03211517165005537,0.05326086956521739,
casino,delay_120_deadline_30,20260920,mixed_dropout,920,17,0.1206896551724138,0.8235294117647058,0.21052631578947367,0.6958031575071087,0.9422513191323041,102,0.11295681063122924,0.12391304347826088,
casino,delay_120_deadline_30,20260920,confidence_gate,920,17,0.2926829268292683,0.7058823529411765,0.41379310344827586,0.6731615129342067,0.9500032571168001,29,0.03211517165005537,0.05326086956521739,0.7619565217391304
casino,delay_120_deadline_30,20260920,ordinary_gate,920,17,0.1308411214953271,0.8235294117647058,0.22580645161290322,0.6368094570688068,0.9507198228128461,93,0.10299003322259136,0.11413043478260869,0.6391304347826087
casino,delay_120_deadline_30,20260920,target_cost_gate,920,17,0.25,0.6470588235294118,0.36065573770491804,0.6349121371234359,0.948407269884698,33,0.036544850498338874,0.06195652173913044,0.7510869565217392
